session_key,meeting_key,team_name,track_name,starting_position,starting_compound,pit_stops,target_compound,air_temp_mean,air_temp_max,track_temp_mean,track_temp_max,humidity_mean,wind_speed_mean,rainfall_sum,rain_minutes_ratio
9140,1216,Mercedes,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,Red Bull Racing,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,Williams,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9141,1216,Alfa Romeo,Spa-Francorchamps,10.0,SOFT,4,MEDIUM,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,AlphaTauri,Spa-Francorchamps,10.0,MEDIUM,4,SOFT,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,Alpine,Spa-Francorchamps,10.0,SOFT,3,MEDIUM,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,Aston Martin,Spa-Francorchamps,10.0,MEDIUM,3,SOFT,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,Ferrari,Spa-Francorchamps,10.0,SOFT,3,MEDIUM,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,Haas F1 Team,Spa-Francorchamps,10.0,MEDIUM,4,SOFT,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,McLaren,Spa-Francorchamps,10.0,MEDIUM,2,HARD,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,Mercedes,Spa-Francorchamps,10.0,MEDIUM,4,SOFT,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,Red Bull Racing,Spa-Francorchamps,10.0,SOFT,4,MEDIUM,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9141,1216,Williams,Spa-Francorchamps,10.0,SOFT,6,MEDIUM,17.873333333333335,19.2,28.24066666666667,31.5,61.92666666666667,1.5946666666666667,11.0,0.07333333333333333
9142,1217,Alfa Romeo,Zandvoort,10.0,HARD,9,MEDIUM,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,AlphaTauri,Zandvoort,10.0,MEDIUM,9,SOFT,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,Alpine,Zandvoort,10.0,HARD,6,SOFT,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,Aston Martin,Zandvoort,10.0,HARD,5,MEDIUM,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,Ferrari,Zandvoort,10.0,HARD,6,MEDIUM,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,Haas F1 Team,Zandvoort,10.0,HARD,9,SOFT,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,McLaren,Zandvoort,10.0,MEDIUM,13,SOFT,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,Mercedes,Zandvoort,10.0,HARD,8,SOFT,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,Red Bull Racing,Zandvoort,10.0,HARD,6,SOFT,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9142,1217,Williams,Zandvoort,10.0,HARD,7,SOFT,20.858024691358025,21.3,33.68888888888888,36.5,77.08641975308642,1.8222222222222224,0.0,0.0
9143,1217,Alfa Romeo,Zandvoort,10.0,HARD,12,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,AlphaTauri,Zandvoort,10.0,HARD,4,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,Alpine,Zandvoort,10.0,HARD,6,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,Aston Martin,Zandvoort,10.0,HARD,8,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,Ferrari,Zandvoort,10.0,MEDIUM,8,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,Haas F1 Team,Zandvoort,10.0,HARD,6,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,McLaren,Zandvoort,10.0,HARD,5,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,Mercedes,Zandvoort,10.0,MEDIUM,9,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,Red Bull Racing,Zandvoort,10.0,MEDIUM,6,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9143,1217,Williams,Zandvoort,10.0,HARD,8,SOFT,20.04814814814815,20.5,32.91481481481481,34.4,71.77777777777777,1.3864197530864197,0.0,0.0
9144,1217,Alfa Romeo,Zandvoort,10.0,WET,7,INTERMEDIATE,16.374390243902443,17.1,19.14878048780488,22.6,84.07317073170732,2.625609756097561,35.0,0.4268292682926829
9144,1217,AlphaTauri,Zandvoort,10.0,WET,9,INTERMEDIATE,16.374390243902443,17.1,19.14878048780488,22.6,84.07317073170732,2.625609756097561,35.0,0.4268292682926829
9144,1217,Alpine,Zandvoort,10.0,INTERMEDIATE,7,INTERMEDIATE,16.374390243902443,17.1,19.14878048780488,22.6,84.07317073170732,2.625609756097561,35.0,0.4268292682926829
9144,1217,Aston Martin,Zandvoort,10.0,WET,6,INTERMEDIATE,16.374390243902443,17.1,19.14878048780488,22.6,84.07317073170732,2.625609756097561,35.0,0.4268292682926829
